CBT0108M0003	西安奥拓#比亚迪汽车#西安奥拓#西安奥拓#0.8 手动
YFT0114M0017	菲亚特#菲亚特汽车#Tempra [飞鹰]#Tempra Station Wagon [飞鹰 旅行车]#1.4 手动
YFT0116M0018	菲亚特#菲亚特汽车#Tempra [飞鹰]#Tempra Station Wagon [飞鹰 旅行车]#1.6 手动
YFT0119A0018	菲亚特#菲亚特汽车#Tempra [飞鹰]#Tempra Station Wagon [飞鹰 旅行车]#1.9T 自动 柴油
YFT0119M0018	菲亚特#菲亚特汽车#Tempra [飞鹰]#Tempra Station Wagon [飞鹰 旅行车]#1.9T 手动 柴油
YFT0120M0018	菲亚特#菲亚特汽车#Tempra [飞鹰]#Tempra Station Wagon [飞鹰 旅行车]#2.0 手动
YFT0220M0018	菲亚特#菲亚特汽车#Croma [克罗玛]#Croma [克罗玛]#2.0T 手动
YFT0220M0017	菲亚特#菲亚特汽车#Croma [克罗玛]#Croma [克罗玛]#2.0 手动 137hp
YFT0220M0016	菲亚特#菲亚特汽车#Croma [克罗玛]#Croma [克罗玛]#2.0 手动 116hp
YFT0225M0011	菲亚特#菲亚特汽车#Croma [克罗玛]#Croma [克罗玛]#2.5 手动
YFT0225M0012	菲亚特#菲亚特汽车#Croma [克罗玛]#Croma [克罗玛]#2.5T 手动 柴油
YFT0311M0006	菲亚特#菲亚特汽车#Punto [朋多]#Punto [朋多]#1.1 手动 三门版
YFT0316M0011	菲亚特#菲亚特汽车#Punto [朋多]#Punto [朋多]#1.6 手动 三门版
YFT0316M0012	菲亚特#菲亚特汽车#Punto [朋多]#Punto [朋多]#1.6 手动 五门版
YFT0316M0018	菲亚特#菲亚特汽车#Punto [朋多]#Punto [朋多]#1.6 手动
YFT0317M0035	菲亚特#菲亚特汽车#Punto [朋多]#Punto [朋多]#1.7T 手动 72hp 柴油三门版
YFT0317M0034	菲亚特#菲亚特汽车#Punto [朋多]#Punto [朋多]#1.7T 手动 63hp 柴油三门版
YFT0317M0033	菲亚特#菲亚特汽车#Punto [朋多]#Punto [朋多]#1.7T 手动 57hp 柴油三门版
YFT0317M0032	菲亚特#菲亚特汽车#Punto [朋多]#Punto [朋多]#1.7T 手动 63hp 柴油五门版
YFT0317M0031	菲亚特#菲亚特汽车#Punto [朋多]#Punto [朋多]#1.7T 手动 57hp 柴油五门版
YFT0317M0036	菲亚特#菲亚特汽车#Punto [朋多]#Punto [朋多]#1.7T 手动 72hp 柴油五门版
EFA0134M0011	法拉利#法拉利汽车#348#348 GT#3.4 手动 V8 Competizione
EFA0134M0018	法拉利#法拉利汽车#348#348 TS#3.4 手动 V8
EFA0249M0003	法拉利#法拉利汽车#512#512 M#4.9 手动
EFA0435A0007	法拉利#法拉利汽车#F355#F355 F1 Berlinetta#3.5 手自一体
EFA0547M0003	法拉利#法拉利汽车#F50#F50 GT#4.7 手动
YFT0418M0007	菲亚特#菲亚特汽车#Fiat Coupe#Fiat Coupe#1.8 手动
YFT0420M0027	菲亚特#菲亚特汽车#Fiat Coupe#Fiat Coupe#2.0T 手动 190hp
YFT0420M0028	菲亚特#菲亚特汽车#Fiat Coupe#Fiat Coupe#2.0T 手动 220hp
YFT0420M0025	菲亚特#菲亚特汽车#Fiat Coupe#Fiat Coupe#2.0 手动 139hp
YFT0420M0026	菲亚特#菲亚特汽车#Fiat Coupe#Fiat Coupe#2.0 手动 147hp
YFT0512A0007	菲亚特#菲亚特汽车#Bravo [博悦]#Bravo [博悦]#1.2 自动
YFT0512M0007	菲亚特#菲亚特汽车#Bravo [博悦]#Bravo [博悦]#1.2 手动
YFT0518A0007	菲亚特#菲亚特汽车#Bravo [博悦]#Bravo [博悦]#1.8 自动
YFT0518M0007	菲亚特#菲亚特汽车#Bravo [博悦]#Bravo [博悦]#1.8 手动
YFT0716A0007	菲亚特#菲亚特汽车#Marea [马力昂]#Marea [马力昂]#1.6 自动
YFT0716M0007	菲亚特#菲亚特汽车#Marea [马力昂]#Marea [马力昂]#1.6 手动
YFT0718M0007	菲亚特#菲亚特汽车#Marea [马力昂]#Marea [马力昂]#1.8 手动
YFT0719M0026	菲亚特#菲亚特汽车#Marea [马力昂]#Marea [马力昂]#1.9T 手动 JTD 柴油版 110hp
YFT0719M0027	菲亚特#菲亚特汽车#Marea [马力昂]#Marea [马力昂]#1.9T 手动 TDS 柴油版 100hp
YFT0719M0028	菲亚特#菲亚特汽车#Marea [马力昂]#Marea [马力昂]#1.9T 手动 TDS 柴油版 75hp
YFT0719M0025	菲亚特#菲亚特汽车#Marea [马力昂]#Marea [马力昂]#1.9T 手动 JTD 柴油版 105hp
YFT0720M0019	菲亚特#菲亚特汽车#Marea [马力昂]#Marea [马力昂]#2.0 手动 20V 147hp
YFT0720M0021	菲亚特#菲亚特汽车#Marea [马力昂]#Marea [马力昂]#2.0T 手动
YFT0720M0020	菲亚特#菲亚特汽车#Marea [马力昂]#Marea [马力昂]#2.0 手动 20V 154hp
YFT0724M0014	菲亚特#菲亚特汽车#Marea [马力昂]#Marea [马力昂]#2.4T 手动 TDS 柴油版
YFT0724M0013	菲亚特#菲亚特汽车#Marea [马力昂]#Marea [马力昂]#2.4T 手动 JTD 柴油版
YFT0716A0014	菲亚特#菲亚特汽车#Marea [马力昂]#Marea Station Wagon [马力昂 旅行车]#1.6 自动
YFT0716M0014	菲亚特#菲亚特汽车#Marea [马力昂]#Marea Station Wagon [马力昂 旅行车]#1.6 手动
YFT0718M0014	菲亚特#菲亚特汽车#Marea [马力昂]#Marea Station Wagon [马力昂 旅行车]#1.8 手动
YFT0719M0056	菲亚特#菲亚特汽车#Marea [马力昂]#Marea Station Wagon [马力昂 旅行车]#1.9T 手动 TDS 柴油版 75hp
YFT0719M0053	菲亚特#菲亚特汽车#Marea [马力昂]#Marea Station Wagon [马力昂 旅行车]#1.9T 手动 JTD 柴油版 105hp
YFT0719M0054	菲亚特#菲亚特汽车#Marea [马力昂]#Marea Station Wagon [马力昂 旅行车]#1.9T 手动 JTD 柴油版 110hp
YFT0719M0055	菲亚特#菲亚特汽车#Marea [马力昂]#Marea Station Wagon [马力昂 旅行车]#1.9T 手动 TDS 柴油版 100hp
YFT0720M0041	菲亚特#菲亚特汽车#Marea [马力昂]#Marea Station Wagon [马力昂 旅行车]#2.0 手动 20V 154hp
YFT0720M0040	菲亚特#菲亚特汽车#Marea [马力昂]#Marea Station Wagon [马力昂 旅行车]#2.0 手动 20V 147hp
YFT0720M0042	菲亚特#菲亚特汽车#Marea [马力昂]#Marea Station Wagon [马力昂 旅行车]#2.0T 手动
YFT0724M0027	菲亚特#菲亚特汽车#Marea [马力昂]#Marea Station Wagon [马力昂 旅行车]#2.4T 手动 JTD 柴油版
YFT0724M0028	菲亚特#菲亚特汽车#Marea [马力昂]#Marea Station Wagon [马力昂 旅行车]#2.4T 手动 TDS 柴油版
YFT0810M0007	菲亚特#菲亚特汽车#Palio [派力奥]#Palio [派力奥]#1.0 手动
YFT0816M0007	菲亚特#菲亚特汽车#Palio [派力奥]#Palio [派力奥]#1.6 手动
YFT1016M0002	菲亚特#菲亚特汽车#Weekend [周末风]#Weekend [周末风]#1.6 手动
EFA0134M0015	法拉利#法拉利汽车#348#348 Spider#3.4 手动 V8
EFA0134M0013	法拉利#法拉利汽车#348#348#3.4 手动 V8 Challenge
JTY0113M0014	丰田#丰田汽车#Corolla [花冠]#Corolla-Hatchback [花冠-两厢]#1.3 手动 五门版
JTY0113M0013	丰田#丰田汽车#Corolla [花冠]#Corolla-Hatchback [花冠-两厢]#1.3i 手动 88hp 五门版
JTY0113M0012	丰田#丰田汽车#Corolla [花冠]#Corolla-Hatchback [花冠-两厢]#1.3i 手动 75hp 五门版
JTY0320A0020	丰田#丰田汽车#MR2#MR2#2.0 自动 175hp
JTY0320A0019	丰田#丰田汽车#MR2#MR2#2.0 自动 156hp
JTY0320M0021	丰田#丰田汽车#MR2#MR2#2.0 手动 156hp
JTY0320M0022	丰田#丰田汽车#MR2#MR2#2.0 手动 175hp
JTY0515A0005	丰田#丰田汽车#Paseo#Paseo#1.5 自动
JTY0515M0005	丰田#丰田汽车#Paseo#Paseo#1.5 手动
JTY0615M0007	丰田#丰田汽车#Tercel [雄鹰]#Tercel [雄鹰]#1.5 手动
JTY0816M0005	丰田#丰田汽车#Celica [赛利卡]#Celica [赛利卡]#1.6 手动
JTY0820M0020	丰田#丰田汽车#Celica [赛利卡]#Celica [赛利卡]#2.0T 手动
JTY0820M0019	丰田#丰田汽车#Celica [赛利卡]#Celica [赛利卡]#2.0 手动
JTY1016A0010	丰田#丰田汽车#Corona [光冠]#Corona [光冠]#1.6 自动
JTY1016M0010	丰田#丰田汽车#Corona [光冠]#Corona [光冠]#1.6 手动
JTY1018A0010	丰田#丰田汽车#Corona [光冠]#Corona [光冠]#1.8 自动
JTY1018M0010	丰田#丰田汽车#Corona [光冠]#Corona [光冠]#1.8 手动
JTY1020A0010	丰田#丰田汽车#Corona [光冠]#Corona [光冠]#2.0 自动
JTY1020M0010	丰田#丰田汽车#Corona [光冠]#Corona [光冠]#2.0 手动
JTY1022A0004	丰田#丰田汽车#Corona [光冠]#Corona [光冠]#2.2 自动
JTY1130A0020	丰田#丰田汽车#Supra#Supra#3.0T 自动 280hp
JTY1130A0019	丰田#丰田汽车#Supra#Supra#3.0 自动
JTY1130M0029	丰田#丰田汽车#Supra#Supra#3.0T 手动 280hp
JTY1130M0028	丰田#丰田汽车#Supra#Supra#3.0 手动
JTY1130M0030	丰田#丰田汽车#Supra#Supra#3.0T 手动 330hp
JTY1230A0006	丰田#丰田汽车#T100#T100#3.0 自动
JTY1524A0009	丰田#丰田汽车#Tacoma [塔库玛]#Tacoma [塔库玛]#2.4 自动
JTY2034A0006	丰田#丰田汽车#Tundra [坦途]#Tundra [坦途]#3.4 自动 V6
JTY2027M0001	丰田#丰田汽车#Tundra [坦途]#Tundra [坦途]#2.7 手动
AFF0120A0004	福特#福特汽车#Scorpio [天蝎座]#Scorpio Wagon [天蝎座 旅行版]#2.0 自动 136hp
AFF0120M0007	福特#福特汽车#Scorpio [天蝎座]#Scorpio Wagon [天蝎座 旅行版]#2.0 手动 115hp
AFF0120M0010	福特#福特汽车#Scorpio [天蝎座]#Scorpio Wagon [天蝎座 旅行版]#2.0 手动
AFF0123A0004	福特#福特汽车#Scorpio [天蝎座]#Scorpio Wagon [天蝎座 旅行版]#2.3 自动
AFF0123M0004	福特#福特汽车#Scorpio [天蝎座]#Scorpio Wagon [天蝎座 旅行版]#2.3 手动
AFF0125M0006	福特#福特汽车#Scorpio [天蝎座]#Scorpio Wagon [天蝎座 旅行版]#2.5TD 手动 柴油
AFF0129A0008	福特#福特汽车#Scorpio [天蝎座]#Scorpio Wagon [天蝎座 旅行版]#2.9 自动 207hp
AFF0129A0010	福特#福特汽车#Scorpio [天蝎座]#Scorpio Wagon [天蝎座 旅行版]#2.9 自动
AFF0120M0008	福特#福特汽车#Scorpio [天蝎座]#Scorpio Wagon [天蝎座 旅行版]#2.0 手动 136hp
AFF0124M0002	福特#福特汽车#Scorpio [天蝎座]#Scorpio Wagon [天蝎座 旅行版]#2.4 手动
AFF0129A0007	福特#福特汽车#Scorpio [天蝎座]#Scorpio Wagon [天蝎座 旅行版]#2.9 自动 150hp
AFF0129M0002	福特#福特汽车#Scorpio [天蝎座]#Scorpio Wagon [天蝎座 旅行版]#2.9 手动
AFF0120A0006	福特#福特汽车#Scorpio [天蝎座]#Scorpio Wagon [天蝎座 旅行版]#2.0 自动
AFF0124A0002	福特#福特汽车#Scorpio [天蝎座]#Scorpio Wagon [天蝎座 旅行版]#2.4 自动
AFF0120A0010	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.0 自动 136hp
AFF0120A0012	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.0 自动
AFF0120M0017	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.0 手动 115hp
AFF0120M0025	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.0 手动 i
AFF0123M0008	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.3 手动
AFF0124A0004	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.4 自动
AFF0124M0007	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.4 手动 i
AFF0125M0017	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.5TD 手动 柴油
AFF0129A0018	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.9 自动 207hp
AFF0129A0021	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.9 自动 146hp
AFF0129A0025	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.9 自动 i 194hp
AFF0129M0007	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.9 手动 i 146hp
AFF0120M0018	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.0 手动 136hp
AFF0120M0026	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.0 手动
AFF0123A0008	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.3 自动
AFF0125M0018	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.5T 手动 柴油
AFF0129A0017	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.9 自动 150hp
AFF0129A0022	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.9 自动 194hp
AFF0124M0005	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.4 手动
AFF0129M0005	福特#福特汽车#Scorpio [天蝎座]#Scorpio [天蝎座]#2.9 手动 146hp
AFF0220A0005	福特#福特汽车#Tempo [天霸]#Tempo [天霸]#2.0 自动
AFF0220M0005	福特#福特汽车#Tempo [天霸]#Tempo [天霸]#2.0 手动
AFF0223A0005	福特#福特汽车#Tempo [天霸]#Tempo [天霸]#2.3 自动
AFF0230A0005	福特#福特汽车#Tempo [天霸]#Tempo [天霸]#3.0 自动 V6
AFF0449M0009	福特#福特汽车#Bronco [烈马]#Bronco [烈马]#4.9 手动
AFF0449M0010	福特#福特汽车#Bronco [烈马]#Bronco [烈马]#4.9 手动 V8
AFF0458M0005	福特#福特汽车#Bronco [烈马]#Bronco [烈马]#5.8 手动 V8
AFF0630A0001	福特#福特汽车#E Class#E Class#3.0 自动
AFF0720M0005	福特#福特汽车#Probe#Probe#2.0 手动
AFF0725M0005	福特#福特汽车#Probe#Probe#2.5 手动 V6
AFF0842A0006	福特#福特汽车#Econoline [依克诺莱恩]#Econoline E150 [依克诺莱恩 E150]#4.2 自动
AFF0938A0007	福特#福特汽车#Windstar [稳达]#Windstar [稳达]#3.8 自动
AFF0930A0001	福特#福特汽车#Windstar [稳达]#Windstar [稳达]#3.0 自动
AFF1046A0040	福特#福特汽车#Crown Victoria [维多利亚皇冠]#Crown Victoria [维多利亚皇冠]#4.6 自动 V8 238hp
AFF1046A0037	福特#福特汽车#Crown Victoria [维多利亚皇冠]#Crown Victoria [维多利亚皇冠]#4.6 自动 V8 218hp
AFF1046A0038	福特#福特汽车#Crown Victoria [维多利亚皇冠]#Crown Victoria [维多利亚皇冠]#4.6 自动 V8 223hp
AFF1046A0039	福特#福特汽车#Crown Victoria [维多利亚皇冠]#Crown Victoria [维多利亚皇冠]#4.6 自动 V8 227hp
AFF1313M0006	福特#福特汽车#Escort [护卫者]#Escort Hatchback [护卫者 掀背车]#1.3 手动 三门版
AFF1314M0049	福特#福特汽车#Escort [护卫者]#Escort Hatchback [护卫者 掀背车]#1.4 手动 75hp三门版
AFF1314M0051	福特#福特汽车#Escort [护卫者]#Escort Hatchback [护卫者 掀背车]#1.4 手动 75hp五门版
AFF1314M0045	福特#福特汽车#Escort [护卫者]#Escort Hatchback [护卫者 掀背车]#1.4 手动 71hp三门版
AFF1316C0016	福特#福特汽车#Escort [护卫者]#Escort Hatchback [护卫者 掀背车]#1.6 无级 五门版
AFF1316M0028	福特#福特汽车#Escort [护卫者]#Escort Hatchback [护卫者 掀背车]#1.6 手动 五门版
AFF1318M0091	福特#福特汽车#Escort [护卫者]#Escort Hatchback [护卫者 掀背车]#1.8 手动 五门版
AFF1318M0101	福特#福特汽车#Escort [护卫者]#Escort Hatchback [护卫者 掀背车]#1.8TD 手动 90hp柴油三门版
AFF1318M0095	福特#福特汽车#Escort [护卫者]#Escort Hatchback [护卫者 掀背车]#1.8 手动 柴油五门版
AFF1318M0093	福特#福特汽车#Escort [护卫者]#Escort Hatchback [护卫者 掀背车]#1.8 手动 柴油三门版
AFF1318M0103	福特#福特汽车#Escort [护卫者]#Escort Hatchback [护卫者 掀背车]#1.8TD 手动 90hp柴油五门版
AFF1318M0097	福特#福特汽车#Escort [护卫者]#Escort Hatchback [护卫者 掀背车]#1.8TD 手动 70hp柴油三门版
AFF1318M0089	福特#福特汽车#Escort [护卫者]#Escort Hatchback [护卫者 掀背车]#1.8 手动 三门版
AFF1318M0099	福特#福特汽车#Escort [护卫者]#Escort Hatchback [护卫者 掀背车]#1.8TD 手动 70hp柴油五门版
AFF1320M0006	福特#福特汽车#Escort [护卫者]#Escort Hatchback [护卫者 掀背车]#2.0 手动 三门版
AFF1314M0047	福特#福特汽车#Escort [护卫者]#Escort Hatchback [护卫者 掀背车]#1.4 手动 71hp五门版
AFF1316M0026	福特#福特汽车#Escort [护卫者]#Escort Hatchback [护卫者 掀背车]#1.6 手动 三门版
AFF1314M0044	福特#福特汽车#Escort [护卫者]#Escort Wagon [护卫者 旅行车]#1.4 手动 71hp
AFF1314M0048	福特#福特汽车#Escort [护卫者]#Escort Wagon [护卫者 旅行车]#1.4 手动 75hp
AFF1318M0096	福特#福特汽车#Escort [护卫者]#Escort Wagon [护卫者 旅行车]#1.8TD 手动 70hp柴油版
AFF1318M0100	福特#福特汽车#Escort [护卫者]#Escort Wagon [护卫者 旅行车]#1.8TD 手动 90hp柴油版
AFF1318M0088	福特#福特汽车#Escort [护卫者]#Escort Wagon [护卫者 旅行车]#1.8 手动
AFF1318M0092	福特#福特汽车#Escort [护卫者]#Escort Wagon [护卫者 旅行车]#1.8 手动 柴油版
AFF1316M0025	福特#福特汽车#Escort [护卫者]#Escort Wagon [护卫者 旅行车]#1.6 手动
AFF1314M0046	福特#福特汽车#Escort [护卫者]#Escort [护卫者]#1.4 手动 71hp四门版
AFF1314M0050	福特#福特汽车#Escort [护卫者]#Escort [护卫者]#1.4 手动 75hp四门版
AFF1316C0015	福特#福特汽车#Escort [护卫者]#Escort [护卫者]#1.6 无级 四门版
AFF1318M0090	福特#福特汽车#Escort [护卫者]#Escort [护卫者]#1.8 手动 四门版
AFF1318M0098	福特#福特汽车#Escort [护卫者]#Escort [护卫者]#1.8TD 手动 70hp柴油四门版
AFF1318M0102	福特#福特汽车#Escort [护卫者]#Escort [护卫者]#1.8TD 手动 90hp柴油四门版
AFF1318M0094	福特#福特汽车#Escort [护卫者]#Escort [护卫者]#1.8 手动 柴油四门版
AFF1316M0027	福特#福特汽车#Escort [护卫者]#Escort [护卫者]#1.6 手动 四门版
AFF1316C0018	福特#福特汽车#Escort [护卫者]#Escort Convertible [护卫者 敞篷]#1.6 无级
AFF1316M0030	福特#福特汽车#Escort [护卫者]#Escort Convertible [护卫者 敞篷]#1.6 手动
AFF1318M0107	福特#福特汽车#Escort [护卫者]#Escort Convertible [护卫者 敞篷]#1.8 手动
AFF1318M0108	福特#福特汽车#Escort [护卫者]#Escort Convertible [护卫者 敞篷]#1.8TD 手动 柴油版
AFF1314M0054	福特#福特汽车#Escort [护卫者]#Escort Convertible [护卫者 敞篷]#1.4 手动
AFF1438A0012	福特#福特汽车#Mustang [野马]#Mustang [野马]#3.8 自动 V6
AFF1438M0012	福特#福特汽车#Mustang [野马]#Mustang [野马]#3.8 手动 V6
AFF1438A0006	福特#福特汽车#Mustang [野马]#Mustang Convertible [野马 敞篷]#3.8 自动 V6
AFF1438M0006	福特#福特汽车#Mustang [野马]#Mustang Convertible [野马 敞篷]#3.8 手动 V6
AGH0165A0086	悍马#通用汽车#H1#H1#6.5T 自动 四门 旅行车 柴油 197hp
AGH0165A0085	悍马#通用汽车#H1#H1#6.5T 自动 双门 硬顶 柴油
AGH0165A0090	悍马#通用汽车#H1#H1#6.5T 自动 四门 硬顶 柴油
AGH0165A0089	悍马#通用汽车#H1#H1#6.5T 自动 四门 软顶 柴油 207hp
AGH0165A0088	悍马#通用汽车#H1#H1#6.5T 自动 四门 软顶 柴油 197hp
AGH0165A0087	悍马#通用汽车#H1#H1#6.5T 自动 四门 旅行车 柴油 207hp
EJB0132A0007	捷豹#捷豹汽车#XJ#XJ#3.2 自动
EJB0132A0011	捷豹#捷豹汽车#XJ#XJ#3.2 手自一体
EJB0132M0004	捷豹#捷豹汽车#XJ#XJ#3.2 手动
EJB0140A0007	捷豹#捷豹汽车#XJ#XJ#4.0 自动
EJB0140M0008	捷豹#捷豹汽车#XJ#XJ#4.0 手动
EJB0160A0008	捷豹#捷豹汽车#XJ#XJ#6.0 自动
EJB0140A0011	捷豹#捷豹汽车#XJ#XJ#4.0 手自一体
EJB0240A0013	捷豹#捷豹汽车#XK#XK#4.0 手自一体
EJB0240A0014	捷豹#捷豹汽车#XK#XK Convertible#4.0 自动
EJB0240A0019	捷豹#捷豹汽车#XK#XKR#4.0 自动 SC
EJB0240A0024	捷豹#捷豹汽车#XK#XKR Convertible#4.0 自动 SC
AGK0146A0025	凯迪拉克#通用汽车#Eldorado#Eldorado#4.6 自动 279hp
AGK0146A0026	凯迪拉克#通用汽车#Eldorado#Eldorado#4.6 自动 305hp
AGK0257A0005	凯迪拉克#通用汽车#Brougham#Brougham#5.7 自动
AGK0346A0016	凯迪拉克#通用汽车#Seville [塞维利亚]#Seville [塞维利亚]#4.6 自动 305hp
AGK0346A0015	凯迪拉克#通用汽车#Seville [塞维利亚]#Seville [塞维利亚]#4.6 自动 279hp
AGK0346A0023	凯迪拉克#通用汽车#Seville [塞维利亚]#Seville [塞维利亚]#4.6 自动 SLS
AGK0346A0024	凯迪拉克#通用汽车#Seville [塞维利亚]#Seville [塞维利亚]#4.6 自动 STS
AGK0349A0018	凯迪拉克#通用汽车#Seville [塞维利亚]#Seville [塞维利亚]#4.9 自动 STS
AGK0349A0017	凯迪拉克#通用汽车#Seville [塞维利亚]#Seville [塞维利亚]#4.9 自动 SLS
AGK0349A0016	凯迪拉克#通用汽车#Seville [塞维利亚]#Seville [塞维利亚]#4.9 自动
AGK0457A0004	凯迪拉克#通用汽车#Fleetwood [伍德]#Fleetwood [伍德]#5.7 自动
AGK0449A0001	凯迪拉克#通用汽车#Fleetwood [伍德]#Fleetwood [伍德]#4.9 自动 Sixty Special
AGK0630A0005	凯迪拉克#通用汽车#Catera#Catera#3.0 自动
ACC0133A0004	克莱斯勒#克莱斯勒#Imperial [帝王]#Imperial [帝王]#3.3 自动
ACC0138A0004	克莱斯勒#克莱斯勒#Imperial [帝王]#Imperial [帝王]#3.8 自动
ACC0222M0006	克莱斯勒#克莱斯勒#Sundance [太阳舞]#Sundance [太阳舞]#2.2 手动
ACC0225A0006	克莱斯勒#克莱斯勒#Sundance [太阳舞]#Sundance [太阳舞]#2.5 自动
ACC0230A0006	克莱斯勒#克莱斯勒#Sundance [太阳舞]#Sundance [太阳舞]#3.0 自动
ACC0330A0004	克莱斯勒#克莱斯勒#Grand Voager [大捷龙]#Grand Voager [大捷龙]#3.0 自动 三代
ACC0330A0009	克莱斯勒#克莱斯勒#Grand Voager [大捷龙]#Grand Voager [大捷龙]#3.0 自动 二代
ACC0432A0007	克莱斯勒#克莱斯勒#Concorde [君王]#Concorde [君王]#3.2 自动
ACC0433A0005	克莱斯勒#克莱斯勒#Concorde [君王]#Concorde [君王]#3.3 自动
ACC0435A0013	克莱斯勒#克莱斯勒#Concorde [君王]#Concorde [君王]#3.5 自动 234hp
ACC0435A0014	克莱斯勒#克莱斯勒#Concorde [君王]#Concorde [君王]#3.5 自动 252hp
ACC0435A0019	克莱斯勒#克莱斯勒#Concorde [君王]#Concorde [君王]#3.5 自动
ACC0520A0001	克莱斯勒#克莱斯勒#Cirrus [卷云]#Cirrus [卷云]#2.0 自动 LE
ACC0524A0006	克莱斯勒#克莱斯勒#Cirrus [卷云]#Cirrus [卷云]#2.4T 自动
ACC0525A0006	克莱斯勒#克莱斯勒#Cirrus [卷云]#Cirrus [卷云]#2.5 自动
ACC0525A0007	克莱斯勒#克莱斯勒#Cirrus [卷云]#Cirrus [卷云]#2.5 自动 LX
ELS0154A0005	劳斯莱斯#劳斯莱斯#Silver Spirit [银灵]#Silver Spirit [银灵]#5.4 自动
ELS0167A0006	劳斯莱斯#劳斯莱斯#Silver Spirit [银灵]#Silver Spirit [银灵]#6.7 自动
ELS0262A0003	劳斯莱斯#劳斯莱斯#Silver spur [银刺]#Silver spur [银刺]#6.2 自动 Ⅱ
ELS0267A0004	劳斯莱斯#劳斯莱斯#Silver spur [银刺]#Silver spur [银刺]#6.7 自动 Ⅳ
ELS0267A0006	劳斯莱斯#劳斯莱斯#Silver spur [银刺]#Silver spur [银刺]#6.7 自动 Ⅲ
ELS0262A0001	劳斯莱斯#劳斯莱斯#Silver spur [银刺]#Silver spur [银刺]#6.2 自动 Ⅰ
ELS0262A0004	劳斯莱斯#劳斯莱斯#Silver spur [银刺]#Silver spur [银刺]#6.2 自动
JTL0230M0006	雷克萨斯#丰田汽车#SC#SC300#3.0 手动
ACC0735A0003	克莱斯勒#克莱斯勒#New Yorker [纽约客]#New Yorker [纽约客]#3.5 自动
JTL0340A0008	雷克萨斯#丰田汽车#GS#GS400#4.0 自动
JTL0440A0006	雷克萨斯#丰田汽车#LS#LS400#4.0 自动
FNR0118M0025	雷诺#雷诺汽车#Clio#Clio-Hatchback [Clio-两厢]#1.8 手动 110hp 三门版
FNR0118M0026	雷诺#雷诺汽车#Clio#Clio-Hatchback [Clio-两厢]#1.8 手动 137hp 三门版
FNR0118M0027	雷诺#雷诺汽车#Clio#Clio-Hatchback [Clio-两厢]#1.8 手动 95hp 三门版
FNR0118M0028	雷诺#雷诺汽车#Clio#Clio-Hatchback [Clio-两厢]#1.8 手动 95hp 五门版
FNR0119M0012	雷诺#雷诺汽车#Clio#Clio-Hatchback [Clio-两厢]#1.9 手动 三门版
FNR0119M0014	雷诺#雷诺汽车#Clio#Clio-Hatchback [Clio-两厢]#1.9 手动 五门版
JTL0240A0003	雷克萨斯#丰田汽车#SC#SC400#4.0 自动
JTL0545M0002	雷克萨斯#丰田汽车#LX#LX450#4.5 手动
FNR0221M0007	雷诺#雷诺汽车#Espace#Espace#2.1 手动 柴油版
FNR0229A0007	雷诺#雷诺汽车#Espace#Espace#2.9 自动
FNR0229M0007	雷诺#雷诺汽车#Espace#Espace#2.9 手动
FNR0714M0007	雷诺#雷诺汽车#Kangoo [甘果]#Kangoo [甘果]#1.4 手动 75hp
AFL0146A0008	林肯#福特汽车#Continental#Continental#4.6 自动
JSK0210A0027	铃木#铃木汽车#Swift [速翼特]#Swift-Hatchback [Swift-两厢]#1.0 自动 三门版
JSK0210A0028	铃木#铃木汽车#Swift [速翼特]#Swift-Hatchback [Swift-两厢]#1.0 自动 五门版
JSK0210M0027	铃木#铃木汽车#Swift [速翼特]#Swift-Hatchback [Swift-两厢]#1.0 手动 三门版
JSK0210M0028	铃木#铃木汽车#Swift [速翼特]#Swift-Hatchback [Swift-两厢]#1.0 手动 五门版
ELH0135A0017	路虎#路虎汽车#Defender [卫士]#Defender90 [卫士90]#3.5 自动
ELH0135M0017	路虎#路虎汽车#Defender [卫士]#Defender110 [卫士110]#3.5T 手动
