CBL0130M0004	三菱#北京吉普#帕杰罗速跑#帕杰罗速跑#3.0 手动 GLS
ACJ0125A0007	Jeep#克莱斯勒#Grand Cherokee [大切诺基]#Grand Cherokee [大切诺基]#2.5 自动 柴油
ACJ0152A0007	Jeep#克莱斯勒#Grand Cherokee [大切诺基]#Grand Cherokee [大切诺基]#5.2 自动 四驱
ACJ0159A0007	Jeep#克莱斯勒#Grand Cherokee [大切诺基]#Grand Cherokee [大切诺基]#5.9 自动 四驱
ACJ0224M0011	Jeep#克莱斯勒#Wrangler [牧马人]#Wrangler [牧马人]#2.4 手动 两门
ACJ0325M0009	Jeep#克莱斯勒#Cherokee [切诺基]#Cherokee [切诺基]#2.5i 手动
ACJ0325M0010	Jeep#克莱斯勒#Cherokee [切诺基]#Cherokee [切诺基]#2.5 手动 柴油
ACJ0340A0005	Jeep#克莱斯勒#Cherokee [切诺基]#Cherokee [切诺基]#4.0 自动
ACJ0724M0011	Jeep#克莱斯勒#Patriot [自由客]#Patriot [自由客]#2.4 手动 前驱
ACJ0724M0008	Jeep#克莱斯勒#Patriot [自由客]#Patriot [自由客]#2.4 手动 四驱
GBM0216C0006	MINI#宝马汽车#Coupe#Cooper Coupe#1.6 无级
GBM0220M0002	MINI#宝马汽车#Coupe#Cooper SD Coupe#2.0T 手动 柴油版
JTS0124M0015	Scion#丰田汽车#Scion#Scion xB#2.4 手动
JTS0115M0007	Scion#丰田汽车#Scion#Scion xB#1.5 手动
JTS0115M0003	Scion#丰田汽车#Scion#Scion xA#1.5 手动
JTS0118M0007	Scion#丰田汽车#Scion#Scion xD#1.8 手动
JTS0124M0017	Scion#丰田汽车#Scion#Scion tC#2.4 手动
GBS0106A0015	Smart#奔驰汽车#Fortwo#Fortwo Coupe#0.6 自动 City 62hp
GBS0106A0014	Smart#奔驰汽车#Fortwo#Fortwo Coupe#0.6 自动 City 55hp
GBS0106A0013	Smart#奔驰汽车#Fortwo#Fortwo Coupe#0.6 自动 City 45hp
EAM0153M0005	阿斯顿马丁#阿斯顿·马丁#Virage#Virage Volante [Virage 敞篷]#5.3 手动
EAM0254M0006	阿斯顿马丁#阿斯顿·马丁#Vantage#V8 Vantage#5.4 手动
EAM0332A0013	阿斯顿马丁#阿斯顿·马丁#DB7#DB7#3.2 手自一体
EAM0332A0014	阿斯顿马丁#阿斯顿·马丁#DB7#DB7#3.2 自动
EAM0332M0007	阿斯顿马丁#阿斯顿·马丁#DB7#DB7#3.2 手动
EAM0332A0018	阿斯顿马丁#阿斯顿·马丁#DB7#DB7 Volante [DB7 敞篷]#3.2 自动
EAM0332M0011	阿斯顿马丁#阿斯顿·马丁#DB7#DB7 Volante [DB7 敞篷]#3.2 手动
GAU0120A0004	奥迪#奥迪汽车#100#100 Avant#2.0 自动 116hp
GAU0120M0016	奥迪#奥迪汽车#100#100 Avant#2.0 手动 116hp
GAU0123M0008	奥迪#奥迪汽车#100#100 Avant#2.3 手动
GAU0124M0008	奥迪#奥迪汽车#100#100 Avant#2.4 手动 柴油版
GAU0125A0004	奥迪#奥迪汽车#100#100 Avant#2.5TDI 自动 柴油版
GAU0125M0008	奥迪#奥迪汽车#100#100 Avant#2.5TDI 手动 柴油版
GAU0126A0008	奥迪#奥迪汽车#100#100 Avant#2.6 自动 V6
GAU0126M0008	奥迪#奥迪汽车#100#100 Avant#2.6 手动 V6
GAU0128M0008	奥迪#奥迪汽车#100#100 Avant#2.8 手动 V6
GAU0120M0015	奥迪#奥迪汽车#100#100 Avant#2.0 手动 101hp
GAU0128A0008	奥迪#奥迪汽车#100#100 Avant#2.8 自动 V6
GAU0120M0013	奥迪#奥迪汽车#100#100#2.0 手动 101hp
GAU0120M0014	奥迪#奥迪汽车#100#100#2.0 手动 116hp
GAU0123A0004	奥迪#奥迪汽车#100#100#2.3 自动
GAU0124M0007	奥迪#奥迪汽车#100#100#2.4 手动 柴油版
GAU0126A0007	奥迪#奥迪汽车#100#100#2.6 自动
GAU0126M0007	奥迪#奥迪汽车#100#100#2.6 手动
GAU0128A0007	奥迪#奥迪汽车#100#100#2.8 自动 V6
GAU0128M0007	奥迪#奥迪汽车#100#100#2.8 手动 V6
GAU0123M0007	奥迪#奥迪汽车#100#100#2.3 手动
GAU0125M0007	奥迪#奥迪汽车#100#100#2.5TDI 手动 柴油版
GAU0219A0005	奥迪#奥迪汽车#80#80 Avant#1.9TDI 自动
GAU0219M0010	奥迪#奥迪汽车#80#80 Avant#1.9TDI 手动
GAU0219M0009	奥迪#奥迪汽车#80#80 Avant#1.9TD 手动
GAU0220A0010	奥迪#奥迪汽车#80#80 Avant#2.0 自动 90hp
GAU0220A0009	奥迪#奥迪汽车#80#80 Avant#2.0 自动 115hp
GAU0220M0010	奥迪#奥迪汽车#80#80 Avant#2.0 手动 90hp
GAU0220M0009	奥迪#奥迪汽车#80#80 Avant#2.0 手动 116hp
GAU0223M0005	奥迪#奥迪汽车#80#80 Avant#2.3 手动
GAU0226A0005	奥迪#奥迪汽车#80#80 Avant#2.6 自动
GAU0226M0005	奥迪#奥迪汽车#80#80 Avant#2.6 手动
GAU0228A0005	奥迪#奥迪汽车#80#80 Avant#2.8 自动
GAU0228M0005	奥迪#奥迪汽车#80#80 Avant#2.8 手动
GAU0222M0009	奥迪#奥迪汽车#80#80 S2#2.2T 手动
GAU0318A0007	奥迪#奥迪汽车#A6#A6#1.8 自动
GAU0318M0024	奥迪#奥迪汽车#A6#A6#1.8T 手动 Quattro
GAU0318M0027	奥迪#奥迪汽车#A6#A6#1.8 手动
GAU0318M0023	奥迪#奥迪汽车#A6#A6#1.8T 手动
GAU0319A0004	奥迪#奥迪汽车#A6#A6#1.9TDI 手自一体 柴油版
GAU0323M0004	奥迪#奥迪汽车#A6#A6#2.3 手动
GAU0324M0025	奥迪#奥迪汽车#A6#A6#2.4 手动 V6
GAU0324M0026	奥迪#奥迪汽车#A6#A6#2.4 手动 V6 Quattro
GAU0318A0008	奥迪#奥迪汽车#A6#A6#1.8 自动 Quattro
GAU0318M0028	奥迪#奥迪汽车#A6#A6#1.8 手动 Quattro
GAU0325M0020	奥迪#奥迪汽车#A6#A6#2.5TDI 手动 V6 155hp 柴油版
GAU0325M0048	奥迪#奥迪汽车#A6#A6#2.5TDI 手动 V6 Quattro 180hp 柴油版
GAU0325M0025	奥迪#奥迪汽车#A6#A6#2.5TDI 手动 V6 Quattro 163hp 柴油版
GAU0325M0024	奥迪#奥迪汽车#A6#A6#2.5TDI 手动 V6 Quattro 155hp 柴油版
GAU0325M0021	奥迪#奥迪汽车#A6#A6#2.5TDI 手动 V6 163hp 柴油版
GAU0325M0052	奥迪#奥迪汽车#A6#A6#2.5TDI 手动 116hp 柴油版
GAU0325M0047	奥迪#奥迪汽车#A6#A6#2.5TDI 手动 V6 Quattro 150hp 柴油版
GAU0325M0046	奥迪#奥迪汽车#A6#A6#2.5TDI 手动 V6 180hp 柴油版
GAU0325M0054	奥迪#奥迪汽车#A6#A6#2.5TDI 手动 Quattro 140hp 柴油版
GAU0326A0008	奥迪#奥迪汽车#A6#A6#2.6 手自一体 Quattro
GAU0326A0007	奥迪#奥迪汽车#A6#A6#2.6 手自一体
GAU0326M0008	奥迪#奥迪汽车#A6#A6#2.6 手动
GAU0323A0004	奥迪#奥迪汽车#A6#A6#2.3 手自一体
GAU0325M0045	奥迪#奥迪汽车#A6#A6#2.5TDI 手动 V6 150hp 柴油版
GAU0325M0053	奥迪#奥迪汽车#A6#A6#2.5TDI 手动 140hp 柴油版
GAU0326M0009	奥迪#奥迪汽车#A6#A6#2.6 手动 Quattro
GAU0330M0039	奥迪#奥迪汽车#A6#A6#3.0TDI 手动 Quattro 204hp 柴油版
GAU0330M0040	奥迪#奥迪汽车#A6#A6#3.0TDI 手动 Quattro柴油版
GAU0330M0016	奥迪#奥迪汽车#A6#A6#3.0 手动 V6
GAU0330M0017	奥迪#奥迪汽车#A6#A6#3.0 手动 V6 Quattro
GAU0332M0008	奥迪#奥迪汽车#A6#A6#3.2 手动 V6 Quattro
GAU0326M0002	奥迪#奥迪汽车#A6#A6#2.6 手动 E
GAU0330M0038	奥迪#奥迪汽车#A6#A6#3.0TDI 手动 204hp 柴油版
GAU0332M0007	奥迪#奥迪汽车#A6#A6#3.2 手动 V6
GAU0318A0016	奥迪#奥迪汽车#A6#A6 Avant#1.8 自动
GAU0318M0045	奥迪#奥迪汽车#A6#A6 Avant#1.8T 手动 Quattro
GAU0318M0046	奥迪#奥迪汽车#A6#A6 Avant#1.8T 手动
GAU0318M0050	奥迪#奥迪汽车#A6#A6 Avant#1.8 手动
GAU0319A0012	奥迪#奥迪汽车#A6#A6 Avant#1.9TDI 自动 90hp 柴油版
GAU0323A0008	奥迪#奥迪汽车#A6#A6 Avant#2.3 自动
GAU0323M0008	奥迪#奥迪汽车#A6#A6 Avant#2.3 手动
GAU0324M0050	奥迪#奥迪汽车#A6#A6 Avant#2.4 手动 V6
GAU0324M0049	奥迪#奥迪汽车#A6#A6 Avant#2.4 手动 V6 Quattro
GAU0319A0008	奥迪#奥迪汽车#A6#A6 Avant#1.9TDI 自动 115hp 柴油版
GAU0325M0066	奥迪#奥迪汽车#A6#A6 Avant#2.5TDI 手动 163hp 柴油版
GAU0325M0065	奥迪#奥迪汽车#A6#A6 Avant#2.5TDI 手动 155hp 柴油版
GAU0325M0077	奥迪#奥迪汽车#A6#A6 Avant#2.5TDI 手动 Quattro 180hp 柴油版
GAU0325M0076	奥迪#奥迪汽车#A6#A6 Avant#2.5TDI 手动 Quattro 150hp 柴油版
GAU0325M0087	奥迪#奥迪汽车#A6#A6 Avant#2.5TDI 手动 116hp 柴油版
GAU0325M0089	奥迪#奥迪汽车#A6#A6 Avant#2.5TDI 手动 Quattro 140hp 柴油版
GAU0326A0016	奥迪#奥迪汽车#A6#A6 Avant#2.6 自动 V6
GAU0326M0017	奥迪#奥迪汽车#A6#A6 Avant#2.6 手动 V6
GAU0326M0016	奥迪#奥迪汽车#A6#A6 Avant#2.6 手动 V6 Quattro
GAU0325M0075	奥迪#奥迪汽车#A6#A6 Avant#2.5TDI 手动 150hp 柴油版
GAU0325M0088	奥迪#奥迪汽车#A6#A6 Avant#2.5TDI 手动 140hp 柴油版
GAU0326A0015	奥迪#奥迪汽车#A6#A6 Avant#2.6 自动 V6 Quattro
GAU0330M0041	奥迪#奥迪汽车#A6#A6 Avant#3.0TDI 手动 Quattro柴油版
GAU0330M0031	奥迪#奥迪汽车#A6#A6 Avant#3.0 手动 V6 Quattro
GAU0330M0032	奥迪#奥迪汽车#A6#A6 Avant#3.0 手动 V6
GAU0332M0016	奥迪#奥迪汽车#A6#A6 Avant#3.2FSI 手动 V6 Quattro
GAU0332M0015	奥迪#奥迪汽车#A6#A6 Avant#3.2FSI 手动 V6
GAU0322A0004	奥迪#奥迪汽车#A6#S6#2.2T 手自一体 Quattro
GAU0322M0004	奥迪#奥迪汽车#A6#S6#2.2T 手动 Quattro
GAU0342M0006	奥迪#奥迪汽车#A6#S6#4.2 手动 Quattro
GAU0342M0011	奥迪#奥迪汽车#A6#S6#4.2T 手动 Quattro
GAU0322A0008	奥迪#奥迪汽车#A6#S6 Avant#2.2T 手自一体 Quattro
GAU0322M0008	奥迪#奥迪汽车#A6#S6 Avant#2.2T 手动 Quattro
GAU0342M0022	奥迪#奥迪汽车#A6#S6 Avant#4.2 手动 Quattro
GAU0222M0008	奥迪#奥迪汽车#80#80 Avant S2#2.2T 手动
GAU0222M0005	奥迪#奥迪汽车#80#80 Avant RS2#2.2T 手动
GAU0524C0004	奥迪#奥迪汽车#A4#A4#2.4 无级
GAU0524M0015	奥迪#奥迪汽车#A4#A4#2.4 手动
GAU0524M0016	奥迪#奥迪汽车#A4#A4#2.4 手动 Quattro
GAU0526A0015	奥迪#奥迪汽车#A4#A4#2.6 自动 V6
GAU0526A0016	奥迪#奥迪汽车#A4#A4#2.6 自动 V6 Quattro
GAU0526M0015	奥迪#奥迪汽车#A4#A4#2.6 手动 V6
GAU0526M0016	奥迪#奥迪汽车#A4#A4#2.6 手动 V6 Quattro
GAU0528A0029	奥迪#奥迪汽车#A4#A4#2.8 手自一体 V6 174hp
GAU0528A0030	奥迪#奥迪汽车#A4#A4#2.8 手自一体 V6 Quattro 174hp
GAU0528A0031	奥迪#奥迪汽车#A4#A4#2.8 自动 V6 193hp
GAU0528A0032	奥迪#奥迪汽车#A4#A4#2.8 自动 V6 Quattro 193hp
GAU0528M0031	奥迪#奥迪汽车#A4#A4#2.8 手动 V6 Quattro 174hp
GAU0528M0032	奥迪#奥迪汽车#A4#A4#2.8 手动 V6 Quattro 193hp
GAU0528M0029	奥迪#奥迪汽车#A4#A4#2.8 手动 V6 174hp
GAU0528M0030	奥迪#奥迪汽车#A4#A4#2.8 手动 V6 193hp
GAU0542M0032	奥迪#奥迪汽车#A4#S4 Avant#4.2 手动 V8 Quattro
GAU0542M0033	奥迪#奥迪汽车#A4#RS4#4.2FSI 手动 V8 Quattro
GAU0542M0034	奥迪#奥迪汽车#A4#RS4 Cabriolet#4.2FSI 手动 V8 Quattro
GAU0542M0035	奥迪#奥迪汽车#A4#RS4 Avant#4.2FSI 手动 V8
GAU0542M0036	奥迪#奥迪汽车#A4#S4 Cabriolet#4.2 手动 V8 Quattro
GAU0614M0014	奥迪#奥迪汽车#A3#A3#1.4TSI 手动 三门版
GAU0618M0057	奥迪#奥迪汽车#A3#A3#1.8TFSI 手动 三门版
GAU0618M0045	奥迪#奥迪汽车#A3#A3#1.8T 手动 150hp 五门版
GAU0618M0055	奥迪#奥迪汽车#A3#A3#1.8T 手动 150hp 三门版
GAU0618M0043	奥迪#奥迪汽车#A3#A3#1.8 手动 五门版
GAU0618M0054	奥迪#奥迪汽车#A3#A3#1.8 手动 三门版
GAU0618M0047	奥迪#奥迪汽车#A3#A3#1.8T 手动 180hp 五门版
GAU0618M0056	奥迪#奥迪汽车#A3#A3#1.8T 手动 180hp 三门版
GAU0614M0015	奥迪#奥迪汽车#A3#A3#1.4TFSI 手动 三门版
GAU0614M0016	奥迪#奥迪汽车#A3#A3 Sportback#1.4TFSI 手动 五门版
GAU0618M0058	奥迪#奥迪汽车#A3#A3 Sportback#1.8TFSI 手动 五门版
GAU0816M0007	奥迪#奥迪汽车#A2#A2#1.6FSI 手动
GBW0116A0007	宝马#宝马汽车#3 Series [3系]#316i Coupe [316i 双门轿跑车]#1.6 自动
GBW0116A0014	宝马#宝马汽车#3 Series [3系]#316i Touring [316i 旅行车]#1.6T 自动
GBW0116A0030	宝马#宝马汽车#3 Series [3系]#316i#1.6 自动 99hp
GBW0116A0029	宝马#宝马汽车#3 Series [3系]#316i#1.6 自动 102hp
GBW0119M0032	宝马#宝马汽车#3 Series [3系]#316i#1.9 手动
GBW0117M0006	宝马#宝马汽车#3 Series [3系]#318tds Touring [318tds 旅行车]#1.6T 手动 柴油版
GBW0117M0014	宝马#宝马汽车#3 Series [3系]#318tds#1.7T 手动 柴油版
GBW0119M0005	宝马#宝马汽车#3 Series [3系]#318i#1.9 手动
GBW0120M0201	宝马#宝马汽车#3 Series [3系]#318i#2.0 手动
GBW0119M0008	宝马#宝马汽车#3 Series [3系]#318i Touring [318i 旅行车]#1.9 手动
GBW0119M0017	宝马#宝马汽车#3 Series [3系]#318Ci Coupe [318Ci 双门轿跑车]#1.9T 手动
GBW0119M0025	宝马#宝马汽车#3 Series [3系]#318is#1.9 手动
GBW0119M0031	宝马#宝马汽车#3 Series [3系]#318ti Touring [318ti 旅行车]#1.9 手动
GBW0122M0005	宝马#宝马汽车#3 Series [3系]#320i#2.2 手动
GBW0122M0013	宝马#宝马汽车#3 Series [3系]#320ci Coupe [320ci 双门轿跑车]#2.2 手动
GBW0122M0021	宝马#宝马汽车#3 Series [3系]#320ci Convertible [320ci 敞篷轿跑车]#2.2 手动
GBW0130M0138	宝马#宝马汽车#3 Series [3系]#330d xDrive Touring [330d xDrive 旅行车]#3.0T 手动 柴油版
GBW0130M0139	宝马#宝马汽车#3 Series [3系]#330d Touring [330d 旅行车]#3.0T 手动 柴油版
GBW0130M0130	宝马#宝马汽车#3 Series [3系]#330d#3.0T 手动 柴油版
GBW0130M0135	宝马#宝马汽车#3 Series [3系]#330d#3.0T 手动 204hp  柴油版
GBW0130M0129	宝马#宝马汽车#3 Series [3系]#330d xDrive#3.0T 手动 柴油版
GBW0130M0136	宝马#宝马汽车#3 Series [3系]#330d xDrive#3.0T 手动 204hp  柴油版
GBW0130M0144	宝马#宝马汽车#3 Series [3系]#330i xDrive Coupe [330i xDrive 双门轿跑车]#3.0 手动
GBW0130M0163	宝马#宝马汽车#3 Series [3系]#330i Touring [330i 旅行车]#3.0 手动 258hp
GBW0130M0174	宝马#宝马汽车#3 Series [3系]#330i Touring [330i 旅行车]#3.0 手动
GBW0130M0175	宝马#宝马汽车#3 Series [3系]#330i xDrive Touring [330i xDrive 旅行车]#3.0 手动
GBW0130M0166	宝马#宝马汽车#3 Series [3系]#330i xDrive Touring [330i xDrive 旅行车]#3.0 手动 258hp
GBW0130M0194	宝马#宝马汽车#3 Series [3系]#330i#3.0 手动 272hp
GBW0130M0195	宝马#宝马汽车#3 Series [3系]#330i xDrive#3.0 手动 258hp
GBW0218M0006	宝马#宝马汽车#5 Series [5系]#518i Touring [518i 旅行车]#1.8 手动
GBW0222M0009	宝马#宝马汽车#5 Series [5系]#520i#2.2 手动 后驱版
GBW0225A0114	宝马#宝马汽车#5 Series [5系]#525d Touring [525d 旅行车]#2.5T 自动 柴油版
GBW0228A0010	宝马#宝马汽车#5 Series [5系]#528i Touring [528i 旅行车]#2.8 自动
GBW0228M0010	宝马#宝马汽车#5 Series [5系]#528i Touring [528i 旅行车]#2.8 手动
GBW0225A0130	宝马#宝马汽车#5 Series [5系]#525i Touring [525i 旅行车]#2.5 自动
GBW0225M0106	宝马#宝马汽车#5 Series [5系]#525i Touring [525i 旅行车]#2.5 手动
GBW0225A0132	宝马#宝马汽车#5 Series [5系]#525tds Touring [525tds 旅行车]#2.5T 自动 柴油版
GBW0225M0108	宝马#宝马汽车#5 Series [5系]#525tds Touring [525tds 旅行车]#2.5T 手动 柴油版
GBW0225A0131	宝马#宝马汽车#5 Series [5系]#525td Touring [525td 旅行车]#2.5T 自动 柴油版
GBW0225M0107	宝马#宝马汽车#5 Series [5系]#525td Touring [525td 旅行车]#2.5T 手动 柴油版
GBW0228A0006	宝马#宝马汽车#5 Series [5系]#528i#2.8 自动 后驱版
GBW0228M0006	宝马#宝马汽车#5 Series [5系]#528i#2.8 手动 后驱版
GBW0235M0006	宝马#宝马汽车#5 Series [5系]#535i#3.5 手动 V8后驱版
GBW0240M0007	宝马#宝马汽车#5 Series [5系]#540i#4.0 手动 V8后驱版
GBW0244M0006	宝马#宝马汽车#5 Series [5系]#540i#4.4 手动 V8后驱版
GBW0244M0016	宝马#宝马汽车#5 Series [5系]#545i Touring [545i 旅行车]#4.4T 手动
GBW0244M0011	宝马#宝马汽车#5 Series [5系]#545i#4.4T 手动 V8后驱版
GBW0330M0001	宝马#宝马汽车#8 Series [8系]#830Ci#3.0 手动 V8
GBW0425A0008	宝马#宝马汽车#7 Series [7系]#725tds#2.5T 手自一体 柴油版
GBW0425M0008	宝马#宝马汽车#7 Series [7系]#725tds#2.5T 手动 柴油版
GBW0428A0007	宝马#宝马汽车#7 Series [7系]#728iL#2.8 手自一体
GBW0428A0015	宝马#宝马汽车#7 Series [7系]#728i#2.8 手自一体
GBW0428M0008	宝马#宝马汽车#7 Series [7系]#728i#2.8 手动
GBW0429A0004	宝马#宝马汽车#7 Series [7系]#730d#2.9T 手自一体 柴油版
GBW0430M0005	宝马#宝马汽车#7 Series [7系]#730i#3.0 手动 V8 218hp
GBW0440M0005	宝马#宝马汽车#7 Series [7系]#740i#4.0 手动 V8
GBW0430M0007	宝马#宝马汽车#7 Series [7系]#730iL#3.0 手动
GBW0435A0009	宝马#宝马汽车#7 Series [7系]#735i#3.5 手自一体 V8
GBW0435M0005	宝马#宝马汽车#7 Series [7系]#735i#3.5 手动 V8
GBW0454A0012	宝马#宝马汽车#7 Series [7系]#750Li#5.4 手自一体 V12
GBW0454A0014	宝马#宝马汽车#7 Series [7系]#750i#5.4 手自一体 V12
GBW0549A0002	宝马#宝马汽车#M Series [M系]#M5#4.9 手自一体 V8
GBW0618M0008	宝马#宝马汽车#Z3#Z3 1.8i Convertible [Z3 1.8i 敞篷跑车]#1.8i 手动
GBW0619M0008	宝马#宝马汽车#Z3#Z3 1.9i Convertible [Z3 1.9i 敞篷跑车]#1.9 手动
GBW0622A0008	宝马#宝马汽车#Z3#Z3 2.2i Convertible [Z3 2.2i 敞篷跑车]#2.2 手自一体
GBW0622M0008	宝马#宝马汽车#Z3#Z3 2.2i Convertible [Z3 2.2i 敞篷跑车]#2.2 手动
GBW0628A0005	宝马#宝马汽车#Z3#Z3 2.8i Coupe [Z3 2.8i 双门跑车]#2.8 手自一体
GBW0628M0005	宝马#宝马汽车#Z3#Z3 2.8i Coupe [Z3 2.8i 双门跑车]#2.8 手动
GBW0628A0013	宝马#宝马汽车#Z3#Z3 2.8i Convertible [Z3 2.8i 敞篷跑车]#2.8 手自一体
GBW0628M0013	宝马#宝马汽车#Z3#Z3 2.8i Convertible [Z3 2.8i 敞篷跑车]#2.8 手动
GBW0630A0005	宝马#宝马汽车#Z3#Z3 3.0i Coupe [Z3 3.0i 双门跑车]#3.0 手自一体
GBW0630M0005	宝马#宝马汽车#Z3#Z3 3.0i Coupe [Z3 3.0i 双门跑车]#3.0 手动
GBW0630A0013	宝马#宝马汽车#Z3#Z3 3.0i Convertible [Z3 3.0i 敞篷跑车]#3.0 手自一体
GBW0630M0013	宝马#宝马汽车#Z3#Z3 3.0i Convertible [Z3 3.0i 敞篷跑车]#3.0 手动
GBW0922M0005	宝马#宝马汽车#Z4#Z4 2.2i#2.2 手动
GBW0925M0012	宝马#宝马汽车#Z4#Z4 2.5i#2.5 手动
GBW0925M0008	宝马#宝马汽车#Z4#Z4 2.5si#2.5 手动
GBW0930M0009	宝马#宝马汽车#Z4#Z4 3.0i#3.0 手动
GBW0930M0013	宝马#宝马汽车#Z4#Z4 3.0si#3.0 手动
GBW1030M0004	宝马#宝马汽车#6 Series [6系]#630i Convertible [630i 敞篷轿跑车]#3.0 手动
GBW1030M0014	宝马#宝马汽车#6 Series [6系]#630ci Convertible [630ci 敞篷轿跑车]#3.0 手动
GBW1030M0019	宝马#宝马汽车#6 Series [6系]#630ci Coupe [630ci 双门轿跑车]#3.0 手动
GBW1030M0010	宝马#宝马汽车#6 Series [6系]#630i Coupe [630i 双门轿跑车]#3.0 手动
GBW1044M0009	宝马#宝马汽车#6 Series [6系]#645Ci Coupe [645Ci 双门轿跑车]#4.4T 手动 V8
GBW1044M0004	宝马#宝马汽车#6 Series [6系]#645Ci Convertible [645Ci 敞篷轿跑车]#4.4T 手动 V8
GBW1120M0021	宝马#宝马汽车#X3#X3 xDrive20i#2.0T 手动 四驱版
GBW1120M0020	宝马#宝马汽车#X3#X3 2.0d#2.0T 手动 四驱柴油版
GBW1120M0019	宝马#宝马汽车#X3#X3 2.0i#2.0 手动 四驱版
GBW1220M0128	宝马#宝马汽车#1 Series [1系]#120i#2.0 手动
GBW1220M0133	宝马#宝马汽车#1 Series [1系]#118d Coupe [118d 双门轿跑车]#2.0 手动 柴油版
GBW1220M0137	宝马#宝马汽车#1 Series [1系]#118i Convertible [118i 敞篷轿跑车]#2.0 手动
GBW1220M0139	宝马#宝马汽车#1 Series [1系]#120d Convertible [120d 敞篷轿跑车]#2.0 手动 柴油版
GBW1220M0143	宝马#宝马汽车#1 Series [1系]#120d#2.0 手动 五门柴油版
GBW1220M0144	宝马#宝马汽车#1 Series [1系]#123d#2.0 手动 五门柴油版
GBW1220M0138	宝马#宝马汽车#1 Series [1系]#118d Convertible [118d 敞篷轿跑车]#2.0 手动 柴油版
EBS0329M0004	保时捷#保时捷汽车#Boxster [博克斯特]#Boxster [博克斯特]#2.9 手动
EBS0325A0007	保时捷#保时捷汽车#Boxster [博克斯特]#Boxster [博克斯特]#2.5 自动
EBS0325M0007	保时捷#保时捷汽车#Boxster [博克斯特]#Boxster [博克斯特]#2.5 手动
EBS0436M0003	保时捷#保时捷汽车#Cayenne [卡宴]#Cayenne [卡宴]#3.6 手动
EBS0627A0004	保时捷#保时捷汽车#Cayman [卡曼]#Cayman [卡曼]#2.7 手自一体
GBZ0130M0007	奔驰#奔驰汽车#S-Class [S级]#300 SE#3.0 手动
GBW1220M0134	宝马#宝马汽车#1 Series [1系]#120d Coupe [120d 双门轿跑车]#2.0 手动 柴油版
GBW1220M0140	宝马#宝马汽车#1 Series [1系]#123d Convertible [123d 敞篷轿跑车]#2.0 手动 柴油版
EBS0130A0009	保时捷#保时捷汽车#968#968#3.0 手自一体
EBS0130M0005	保时捷#保时捷汽车#968#968#3.0 手动
EBS0130A0010	保时捷#保时捷汽车#968#968 Turbo S#3.0T 手自一体
EBS0234A0011	保时捷#保时捷汽车#911#Carrera Cabriolet#3.4 手自一体
EBS0234M0011	保时捷#保时捷汽车#911#Carrera Cabriolet#3.4 手动
EBS0234A0016	保时捷#保时捷汽车#911#Carrera 4#3.4 手自一体
EBS0234M0016	保时捷#保时捷汽车#911#Carrera 4#3.4 手动
EBS0234A0017	保时捷#保时捷汽车#911#Carrera 4 Cabriolet#3.4 手自一体
EBS0234M0017	保时捷#保时捷汽车#911#Carrera 4 Cabriolet#3.4 手动
EBS0234M0015	保时捷#保时捷汽车#911#Carrera#3.4 手动
EBS0234A0015	保时捷#保时捷汽车#911#Carrera#3.4 手自一体
GBZ0142A0009	奔驰#奔驰汽车#S-Class [S级]#400 SEL#4.2 自动
GBZ0142A0004	奔驰#奔驰汽车#S-Class [S级]#S 420#4.2 自动 V8
GBZ0142A0015	奔驰#奔驰汽车#S-Class [S级]#420 SEL#4.2 自动 V8
EBS0236M0102	保时捷#保时捷汽车#911#Carrera 4S#3.6 手动
GBZ0156A0003	奔驰#奔驰汽车#S-Class [S级]#560 SEL#5.6 自动 V8
GBZ0220M0006	奔驰#奔驰汽车#E-Class [E级]#190 E#2.0 手动
GBZ0223M0003	奔驰#奔驰汽车#E-Class [E级]#190 E#2.3 手动
GBZ0225A0003	奔驰#奔驰汽车#E-Class [E级]#190 E#2.5 自动
GBZ0223A0003	奔驰#奔驰汽车#E-Class [E级]#190 E#2.3 自动
GBZ0225M0013	奔驰#奔驰汽车#E-Class [E级]#190 E#2.5 手动
GBZ0226M0007	奔驰#奔驰汽车#E-Class [E级]#190 E#2.6 手动
GBZ0220M0015	奔驰#奔驰汽车#E-Class [E级]#E 200 K Tourer#2.0T 手动
GBZ0220M0022	奔驰#奔驰汽车#E-Class [E级]#E 200 Tourer#2.0 手动
GBZ0222M0003	奔驰#奔驰汽车#E-Class [E级]#E 220 Tourer#2.2 手动
GBZ0223A0007	奔驰#奔驰汽车#E-Class [E级]#E 230 Tourer#2.3 自动
GBZ0223M0007	奔驰#奔驰汽车#E-Class [E级]#E 230 Tourer#2.3 手动
GBZ0224M0008	奔驰#奔驰汽车#E-Class [E级]#E 240 Tourer#2.4 手动 V6
GBZ0226M0019	奔驰#奔驰汽车#E-Class [E级]#E 240 Tourer#2.6 手动 V6
GBZ0226M0018	奔驰#奔驰汽车#E-Class [E级]#E 240 Tourer#2.6 手动 V6 四驱版
GBZ0130M0006	奔驰#奔驰汽车#S-Class [S级]#300 SD#3.0 手动 柴油版
GBZ0225M0015	奔驰#奔驰汽车#E-Class [E级]#300 D#2.5 手动
GBZ0225M0011	奔驰#奔驰汽车#E-Class [E级]#190 D#2.5 手动
GBZ0220M0005	奔驰#奔驰汽车#E-Class [E级]#190 D#2.0 手动
