//宝龙#宝龙汽车#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
克莱斯勒#北京奔驰#合资=克莱斯勒#北京克莱斯勒:Y|奔驰#北京奔驰|克莱斯勒#东南汽车|克莱斯勒#克莱斯勒(进口)|奔驰#福建奔驰
马自达#马自达汽车#进口=马自达#马自达(进口):Y|马自达#一汽马自达|马自达#长安马自达|大众#大众(进口)|日产#日产(进口)
玛莎拉蒂#玛莎拉蒂#进口=玛莎拉蒂#玛莎拉蒂:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
迈巴赫#奔驰汽车#进口=迈巴赫#迈巴赫:Y|奔驰#奔驰(进口)|奔驰#福建奔驰|奔驰#北京奔驰|奔驰#奔驰AMG
迈凯伦#迈凯伦汽车#进口=迈凯伦#迈凯伦:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
讴歌#本田汽车#进口=讴歌#讴歌:Y|本田#本田(进口)|本田#广汽本田|本田#东风本田|思铭#东风本田
欧宝#通用汽车#进口=欧宝#欧宝:Y|一汽#一汽通用|雪佛兰#通用雪佛兰|别克#通用别克|凯迪拉克#通用凯迪拉克
//庞蒂克#通用汽车#进口=一汽#一汽通用|雪佛兰#通用雪佛兰|别克#通用别克|凯迪拉克#通用凯迪拉克|大众#大众(进口)
起亚#起亚汽车#进口=起亚#起亚(进口):Y|起亚#东风悦达起亚|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)
日产#日产汽车#进口=日产#日产(进口):Y|日产#郑州日产|日产#东风日产|日产#其它|启辰#东风日产
//帕加尼#帕加尼汽车#进口=大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)|宝马#宝马(进口)
萨博#通用汽车#进口=萨博#萨博:Y|一汽#一汽通用|雪佛兰#通用雪佛兰|别克#通用别克|凯迪拉克#通用凯迪拉克
三菱#三菱汽车#进口=三菱#三菱(进口):Y|三菱#北京吉普|三菱#东南汽车|三菱#广汽三菱|大众#大众(进口)
世爵#世爵汽车#进口=世爵#世爵:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
双龙#双龙汽车#进口=双龙#双龙汽车:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
斯巴鲁#斯巴鲁汽车#进口=斯巴鲁#斯巴鲁:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
斯柯达#大众汽车#进口=斯柯达#斯柯达(进口):Y|斯柯达#上海大众斯柯达|大众#大众(进口)|大众#其它|大众#上海大众
威兹曼#威兹曼汽车#进口=威兹曼#威兹曼:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
沃尔沃#沃尔沃汽车#进口=沃尔沃#沃尔沃(进口):Y|沃尔沃#长安沃尔沃|沃尔沃#沃尔沃亚太|大众#大众(进口)|日产#日产(进口)
五十铃#五十铃#进口=五十铃#庆铃汽车:Y|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)|菲亚特#菲亚特(进口)
西雅特#大众汽车#进口=西雅特#西雅特:Y|大众#大众(进口)|大众#其它|大众#上海大众|大众#一汽-大众
现代#现代汽车#进口=现代#现代(进口):Y|现代#北京现代|大众#大众(进口)|日产#日产(进口)|丰田#丰田(进口)
雪佛兰#通用汽车#进口=雪佛兰#通用雪佛兰|雪佛兰#雪佛兰(进口):Y|雪佛兰#其它|一汽#一汽通用|别克#通用别克
雪铁龙#雪铁龙汽车#进口=雪铁龙#雪铁龙(进口):Y|雪铁龙#东风雪铁龙|DS#雪铁龙(进口)|DS#长安标致雪铁龙|大众#大众(进口)
英菲尼迪#日产汽车#进口=英菲尼迪#英菲尼迪:Y|日产#日产(进口)|日产#郑州日产|日产#东风日产|日产#其它
